Station,Hour,departures,returns
Apollonkatu,0.0,107.0,158.0
Apollonkatu,1.0,53.0,105.0
Apollonkatu,2.0,23.0,41.0
Apollonkatu,3.0,19.0,48.0
Apollonkatu,4.0,12.0,34.0
Apollonkatu,5.0,76.0,14.0
Apollonkatu,6.0,155.0,21.0
Apollonkatu,7.0,530.0,165.0
Apollonkatu,8.0,831.0,372.0
Apollonkatu,9.0,516.0,337.0
Apollonkatu,10.0,361.0,229.0
Apollonkatu,11.0,390.0,262.0
Apollonkatu,12.0,439.0,375.0
Apollonkatu,13.0,437.0,408.0
Apollonkatu,14.0,453.0,547.0
Apollonkatu,15.0,629.0,727.0
Apollonkatu,16.0,703.0,974.0
Apollonkatu,17.0,724.0,868.0
Apollonkatu,18.0,612.0,803.0
Apollonkatu,19.0,592.0,687.0
Apollonkatu,20.0,452.0,571.0
Apollonkatu,21.0,359.0,494.0
Apollonkatu,22.0,220.0,335.0
Apollonkatu,23.0,152.0,223.0
Baana,0.0,112.0,145.0
Baana,1.0,57.0,129.0
Baana,2.0,29.0,94.0
Baana,3.0,22.0,74.0
Baana,4.0,27.0,42.0
Baana,5.0,51.0,22.0
Baana,6.0,206.0,221.0
Baana,7.0,502.0,1159.0
Baana,8.0,869.0,1876.0
Baana,9.0,591.0,1033.0
Baana,10.0,396.0,451.0
Baana,11.0,633.0,444.0
Baana,12.0,688.0,559.0
Baana,13.0,687.0,617.0
Baana,14.0,767.0,614.0
Baana,15.0,1406.0,713.0
Baana,16.0,1735.0,1114.0
Baana,17.0,1293.0,1038.0
Baana,18.0,954.0,919.0
Baana,19.0,630.0,796.0
Baana,20.0,494.0,734.0
Baana,21.0,433.0,561.0
Baana,22.0,252.0,344.0
Baana,23.0,152.0,243.0
Brahen kenttä,0.0,160.0,231.0
Brahen kenttä,1.0,154.0,130.0
Brahen kenttä,2.0,96.0,100.0
Brahen kenttä,3.0,48.0,97.0
Brahen kenttä,4.0,46.0,89.0
Brahen kenttä,5.0,57.0,73.0
Brahen kenttä,6.0,89.0,64.0
Brahen kenttä,7.0,340.0,113.0
Brahen kenttä,8.0,609.0,336.0
Brahen kenttä,9.0,444.0,196.0
Brahen kenttä,10.0,328.0,133.0
Brahen kenttä,11.0,380.0,172.0
Brahen kenttä,12.0,425.0,232.0
Brahen kenttä,13.0,474.0,246.0
Brahen kenttä,14.0,457.0,328.0
Brahen kenttä,15.0,526.0,360.0
Brahen kenttä,16.0,653.0,548.0
Brahen kenttä,17.0,708.0,671.0
Brahen kenttä,18.0,544.0,641.0
Brahen kenttä,19.0,529.0,556.0
Brahen kenttä,20.0,392.0,574.0
Brahen kenttä,21.0,366.0,517.0
Brahen kenttä,22.0,276.0,368.0
Brahen kenttä,23.0,228.0,285.0
Designmuseo,0.0,71.0,130.0
Designmuseo,1.0,41.0,86.0
Designmuseo,2.0,38.0,56.0
Designmuseo,3.0,42.0,40.0
Designmuseo,4.0,41.0,25.0
Designmuseo,5.0,31.0,19.0
Designmuseo,6.0,100.0,77.0
Designmuseo,7.0,245.0,193.0
Designmuseo,8.0,559.0,401.0
Designmuseo,9.0,647.0,518.0
Designmuseo,10.0,372.0,222.0
Designmuseo,11.0,265.0,271.0
Designmuseo,12.0,347.0,301.0
Designmuseo,13.0,361.0,287.0
Designmuseo,14.0,368.0,289.0
Designmuseo,15.0,499.0,383.0
Designmuseo,16.0,586.0,418.0
Designmuseo,17.0,564.0,497.0
Designmuseo,18.0,452.0,409.0
Designmuseo,19.0,268.0,343.0
Designmuseo,20.0,300.0,341.0
Designmuseo,21.0,252.0,278.0
Designmuseo,22.0,155.0,231.0
Designmuseo,23.0,111.0,144.0
Eerikinkatu,0.0,120.0,66.0
Eerikinkatu,1.0,81.0,45.0
Eerikinkatu,2.0,59.0,38.0
Eerikinkatu,3.0,54.0,15.0
Eerikinkatu,4.0,21.0,18.0
Eerikinkatu,5.0,11.0,11.0
Eerikinkatu,6.0,27.0,19.0
Eerikinkatu,7.0,74.0,163.0
Eerikinkatu,8.0,262.0,462.0
Eerikinkatu,9.0,218.0,385.0
Eerikinkatu,10.0,222.0,183.0
Eerikinkatu,11.0,220.0,230.0
Eerikinkatu,12.0,309.0,301.0
Eerikinkatu,13.0,301.0,255.0
Eerikinkatu,14.0,311.0,251.0
Eerikinkatu,15.0,389.0,284.0
Eerikinkatu,16.0,572.0,436.0
Eerikinkatu,17.0,511.0,402.0
Eerikinkatu,18.0,420.0,287.0
Eerikinkatu,19.0,341.0,221.0
Eerikinkatu,20.0,247.0,201.0
Eerikinkatu,21.0,235.0,204.0
Eerikinkatu,22.0,174.0,172.0
Eerikinkatu,23.0,138.0,122.0
Eiran Sairaala,0.0,15.0,42.0
Eiran Sairaala,1.0,9.0,22.0
Eiran Sairaala,2.0,4.0,33.0
Eiran Sairaala,3.0,3.0,18.0
Eiran Sairaala,4.0,7.0,24.0
Eiran Sairaala,5.0,5.0,1.0
Eiran Sairaala,6.0,47.0,4.0
Eiran Sairaala,7.0,97.0,28.0
Eiran Sairaala,8.0,237.0,44.0
Eiran Sairaala,9.0,126.0,50.0
Eiran Sairaala,10.0,95.0,41.0
Eiran Sairaala,11.0,109.0,60.0
Eiran Sairaala,12.0,117.0,92.0
Eiran Sairaala,13.0,112.0,83.0
Eiran Sairaala,14.0,137.0,110.0
Eiran Sairaala,15.0,138.0,137.0
Eiran Sairaala,16.0,142.0,170.0
Eiran Sairaala,17.0,178.0,242.0
Eiran Sairaala,18.0,153.0,174.0
Eiran Sairaala,19.0,135.0,171.0
Eiran Sairaala,20.0,117.0,150.0
Eiran Sairaala,21.0,79.0,123.0
Eiran Sairaala,22.0,65.0,94.0
Eiran Sairaala,23.0,24.0,44.0
Eläinmuseo,0.0,70.0,105.0
Eläinmuseo,1.0,53.0,66.0
Eläinmuseo,2.0,35.0,54.0
Eläinmuseo,3.0,33.0,45.0
Eläinmuseo,4.0,18.0,34.0
Eläinmuseo,5.0,17.0,19.0
Eläinmuseo,6.0,82.0,35.0
Eläinmuseo,7.0,235.0,109.0
Eläinmuseo,8.0,477.0,196.0
Eläinmuseo,9.0,367.0,206.0
Eläinmuseo,10.0,253.0,148.0
Eläinmuseo,11.0,297.0,212.0
Eläinmuseo,12.0,342.0,238.0
Eläinmuseo,13.0,298.0,247.0
Eläinmuseo,14.0,319.0,266.0
Eläinmuseo,15.0,413.0,328.0
Eläinmuseo,16.0,443.0,376.0
Eläinmuseo,17.0,408.0,413.0
Eläinmuseo,18.0,356.0,325.0
Eläinmuseo,19.0,295.0,321.0
Eläinmuseo,20.0,258.0,267.0
Eläinmuseo,21.0,187.0,211.0
Eläinmuseo,22.0,120.0,172.0
Eläinmuseo,23.0,119.0,135.0
Erottaja,0.0,161.0,104.0
Erottaja,1.0,139.0,86.0
Erottaja,2.0,135.0,42.0
Erottaja,3.0,145.0,45.0
Erottaja,4.0,77.0,20.0
Erottaja,5.0,11.0,98.0
Erottaja,6.0,26.0,134.0
Erottaja,7.0,67.0,446.0
Erottaja,8.0,180.0,1545.0
Erottaja,9.0,177.0,1056.0
Erottaja,10.0,252.0,593.0
Erottaja,11.0,427.0,671.0
Erottaja,12.0,562.0,793.0
Erottaja,13.0,627.0,728.0
Erottaja,14.0,666.0,740.0
Erottaja,15.0,1018.0,710.0
Erottaja,16.0,1414.0,957.0
Erottaja,17.0,1400.0,1013.0
Erottaja,18.0,1104.0,781.0
Erottaja,19.0,718.0,631.0
Erottaja,20.0,689.0,442.0
Erottaja,21.0,410.0,266.0
Erottaja,22.0,282.0,181.0
Erottaja,23.0,274.0,148.0
Haapaniemenkatu,0.0,175.0,197.0
Haapaniemenkatu,1.0,140.0,136.0
Haapaniemenkatu,2.0,136.0,110.0
Haapaniemenkatu,3.0,121.0,76.0
Haapaniemenkatu,4.0,66.0,40.0
Haapaniemenkatu,5.0,37.0,12.0
Haapaniemenkatu,6.0,38.0,45.0
Haapaniemenkatu,7.0,254.0,244.0
Haapaniemenkatu,8.0,548.0,634.0
Haapaniemenkatu,9.0,312.0,263.0
Haapaniemenkatu,10.0,288.0,163.0
Haapaniemenkatu,11.0,287.0,178.0
Haapaniemenkatu,12.0,313.0,208.0
Haapaniemenkatu,13.0,299.0,236.0
Haapaniemenkatu,14.0,380.0,280.0
Haapaniemenkatu,15.0,439.0,369.0
Haapaniemenkatu,16.0,562.0,623.0
Haapaniemenkatu,17.0,486.0,561.0
Haapaniemenkatu,18.0,372.0,523.0
Haapaniemenkatu,19.0,320.0,445.0
Haapaniemenkatu,20.0,242.0,440.0
Haapaniemenkatu,21.0,225.0,368.0
Haapaniemenkatu,22.0,200.0,285.0
Haapaniemenkatu,23.0,130.0,258.0
Hakaniemen metroasema,0.0,116.0,147.0
Hakaniemen metroasema,1.0,111.0,115.0
Hakaniemen metroasema,2.0,56.0,102.0
Hakaniemen metroasema,3.0,37.0,71.0
Hakaniemen metroasema,4.0,26.0,60.0
Hakaniemen metroasema,5.0,103.0,32.0
Hakaniemen metroasema,6.0,61.0,55.0
Hakaniemen metroasema,7.0,259.0,289.0
Hakaniemen metroasema,8.0,591.0,636.0
Hakaniemen metroasema,9.0,482.0,305.0
Hakaniemen metroasema,10.0,392.0,244.0
Hakaniemen metroasema,11.0,523.0,361.0
Hakaniemen metroasema,12.0,558.0,445.0
Hakaniemen metroasema,13.0,583.0,530.0
Hakaniemen metroasema,14.0,620.0,528.0
Hakaniemen metroasema,15.0,779.0,696.0
Hakaniemen metroasema,16.0,770.0,934.0
Hakaniemen metroasema,17.0,785.0,991.0
Hakaniemen metroasema,18.0,661.0,907.0
Hakaniemen metroasema,19.0,509.0,724.0
Hakaniemen metroasema,20.0,414.0,718.0
Hakaniemen metroasema,21.0,284.0,558.0
Hakaniemen metroasema,22.0,239.0,302.0
Hakaniemen metroasema,23.0,154.0,281.0
Hietalahdentori,0.0,108.0,150.0
Hietalahdentori,1.0,58.0,100.0
Hietalahdentori,2.0,42.0,74.0
Hietalahdentori,3.0,12.0,67.0
Hietalahdentori,4.0,13.0,55.0
Hietalahdentori,5.0,46.0,30.0
Hietalahdentori,6.0,75.0,102.0
Hietalahdentori,7.0,473.0,395.0
Hietalahdentori,8.0,838.0,1003.0
Hietalahdentori,9.0,520.0,902.0
Hietalahdentori,10.0,515.0,478.0
Hietalahdentori,11.0,666.0,670.0
Hietalahdentori,12.0,837.0,885.0
Hietalahdentori,13.0,916.0,800.0
Hietalahdentori,14.0,829.0,873.0
Hietalahdentori,15.0,1020.0,906.0
Hietalahdentori,16.0,1376.0,1129.0
Hietalahdentori,17.0,1237.0,1317.0
Hietalahdentori,18.0,868.0,987.0
Hietalahdentori,19.0,807.0,832.0
Hietalahdentori,20.0,624.0,754.0
Hietalahdentori,21.0,470.0,629.0
Hietalahdentori,22.0,331.0,352.0
Hietalahdentori,23.0,175.0,242.0
Itämerentori,0.0,134.0,211.0
Itämerentori,1.0,69.0,144.0
Itämerentori,2.0,19.0,130.0
Itämerentori,3.0,23.0,60.0
Itämerentori,4.0,14.0,50.0
